Record_ID,Bill Number,Notecard,Process Tag,Date,Day of Legislature,sheet_name
0,HB 267,"No Bargaining, Just Begging",Rules 1,,0,bad_bills_daily_update
1,HB 267,"No Bargaining, Just Begging",Committee 1,,0,bad_bills_daily_update
2,HB 267,"No Bargaining, Just Begging",Floor Vote 1.1,2025-01-23,3,bad_bills_daily_update
3,HB 267,"No Bargaining, Just Begging",Floor Vote 1.2,,0,bad_bills_daily_update
4,HB 267,"No Bargaining, Just Begging",Floor Vote 1.3,,0,bad_bills_daily_update
5,HB 267,"No Bargaining, Just Begging",Rules 2,,0,bad_bills_daily_update
6,HB 267,"No Bargaining, Just Begging",Committee 2,2025-01-27,7,bad_bills_daily_update
7,HB 267,"No Bargaining, Just Begging",Floor Vote 2.1,2025-01-30,10,bad_bills_daily_update
8,HB 267,"No Bargaining, Just Begging",Floor Vote 2.2,,0,bad_bills_daily_update
9,HB 267,"No Bargaining, Just Begging",Floor Vote 2.3,2025-02-04,15,bad_bills_daily_update
10,HB 267,"No Bargaining, Just Begging",Governor,2025-02-06,17,bad_bills_daily_update
11,HB 267,"No Bargaining, Just Begging",Bill Passed,2025-02-14,25,bad_bills_daily_update
12,HB 269,Separate but Unequal Dorms,Rules 1,,0,bad_bills_daily_update
13,HB 269,Separate but Unequal Dorms,Committee 1,,0,bad_bills_daily_update
14,HB 269,Separate but Unequal Dorms,Floor Vote 1.1,2025-01-23,3,bad_bills_daily_update
15,HB 269,Separate but Unequal Dorms,Floor Vote 1.2,,0,bad_bills_daily_update
16,HB 269,Separate but Unequal Dorms,Floor Vote 1.3,,0,bad_bills_daily_update
17,HB 269,Separate but Unequal Dorms,Rules 2,,0,bad_bills_daily_update
18,HB 269,Separate but Unequal Dorms,Committee 2,2025-01-28,8,bad_bills_daily_update
19,HB 269,Separate but Unequal Dorms,Floor Vote 2.1,2025-01-30,10,bad_bills_daily_update
20,HB 269,Separate but Unequal Dorms,Floor Vote 2.2,2025-02-05,16,bad_bills_daily_update
21,HB 269,Separate but Unequal Dorms,Floor Vote 2.3,,0,bad_bills_daily_update
22,HB 269,Separate but Unequal Dorms,Concurrance,2025-02-06,17,bad_bills_daily_update
23,HB 269,Separate but Unequal Dorms,Governor,2025-02-10,21,bad_bills_daily_update
24,HB 269,Separate but Unequal Dorms,Bill Passed,2025-02-14,25,bad_bills_daily_update
25,SJR 2,Good Luck Getting That Passed,Rules 1,2025-01-14,0,bad_bills_daily_update
26,SJR 2,Good Luck Getting That Passed,Committee 1,2025-01-29,9,bad_bills_daily_update
27,SJR 2,Good Luck Getting That Passed,Floor Vote 1.1,2025-01-30,10,bad_bills_daily_update
28,SJR 2,Good Luck Getting That Passed,Floor Vote 1.2,,0,bad_bills_daily_update
29,SJR 2,Good Luck Getting That Passed,Floor Vote 1.3,,0,bad_bills_daily_update
30,SJR 2,Good Luck Getting That Passed,Rules 2,2025-02-05,16,bad_bills_daily_update
