District,Office,Name,Party,Email,County(ies),sheet_name,First Name,Middle Name,Last Name,Name on Ballot,record_id
0,US Senate,Mitt Romney,REPUBLICAN,No Email,No County,fed_reps,Mitt,,Romney,Mitt  Romney,MITT-US SENATE-0
0,US Senate,Mike Lee,REPUBLICAN,No Email,No County,fed_reps,Mike,,Lee,Mike  Lee,MIKE-US SENATE-0
1,US House,Blake Moore,REPUBLICAN,No Email,No County,fed_reps,Blake,,Moore,Blake  Moore,BLAKE-US HOUSE-1
2,US House,Chris Stewart,REPUBLICAN,No Email,No County,fed_reps,Chris,,Stewart,Chris  Stewart,CHRIS-US HOUSE-2
3,US House,John Curtis,REPUBLICAN,No Email,No County,fed_reps,John,,Curtis,John  Curtis,JOHN-US HOUSE-3
4,US House,Burgess Owens,REPUBLICAN,No Email,No County,fed_reps,Burgess,,Owens,Burgess  Owens,BURGESS-US HOUSE-4
0,Attorney General,Sean D Reyes,NO PARTY,No Email,No County,executive_branch,Sean,D,Reyes,Sean D Reyes,SEAN-ATTORNEY GENERAL-0
0,Lt. Governor,Deidre Henderson,REPUBLICAN,No Email,No County,executive_branch,Deidre,,Henderson,Deidre  Henderson,DEIDRE-LT. GOVERNOR-0
0,Governor,Spencer J Cox,REPUBLICAN,No Email,No County,executive_branch,Spencer,J,Cox,Spencer J Cox,SPENCER-GOVERNOR-0
0,State Auditor,John Dougall,NO PARTY,No Email,No County,executive_branch,John,,Dougall,John  Dougall,JOHN-STATE AUDITOR-0
0,State Treasurer,Marlo Oaks,NO PARTY,No Email,No County,executive_branch,Marlo,,Oaks,Marlo  Oaks,MARLO-STATE TREASURER-0
1,State House,"Peterson, Thomas W.",R,tpeterson@le.utah.gov,"Box Elder, Cache",State_House,Thomas,W.,"Peterson,","Thomas W. Peterson,",THOMAS-STATE HOUSE-1
2,State House,"Petersen, Michael J.",R,mpetersen@le.utah.gov,Cache,State_House,Michael,J.,"Petersen,","Michael J. Petersen,",MICHAEL-STATE HOUSE-2
3,State House,"Johnson, Dan N.",R,dnjohnson@le.utah.gov,Cache,State_House,Dan,N.,"Johnson,","Dan N. Johnson,",DAN-STATE HOUSE-3
4,State House,"Birkeland, Kera",R,kbirkeland@le.utah.gov,"Daggett, Duchesne, Morgan, Rich, Summit",State_House,Kera,,"Birkeland,","Kera  Birkeland,",KERA-STATE HOUSE-4
5,State House,"Snider, Casey",R,csnider@le.utah.gov,Cache,State_House,Casey,,"Snider,","Casey  Snider,",CASEY-STATE HOUSE-5
6,State House,"Gwynn, Matthew H.",R,mgwynn@le.utah.gov,"Box Elder, Weber",State_House,Matthew,H.,"Gwynn,","Matthew H. Gwynn,",MATTHEW-STATE HOUSE-6
7,State House,"Wilcox, Ryan D.",R,ryanwilcox@le.utah.gov,Weber,State_House,Ryan,D.,"Wilcox,","Ryan D. Wilcox,",RYAN-STATE HOUSE-7
8,State House,"Kyle, Jason B.",R,jkyle@le.utah.gov,"Morgan, Weber",State_House,Jason,B.,"Kyle,","Jason B. Kyle,",JASON-STATE HOUSE-8
9,State House,"Musselman, Calvin R.",R,cmusselman@le.utah.gov,Weber,State_House,Calvin,R.,"Musselman,","Calvin R. Musselman,",CALVIN-STATE HOUSE-9
10,State House,"Lesser, Rosemary T.",D,rlesser@le.utah.gov,Weber,State_House,Rosemary,T.,"Lesser,","Rosemary T. Lesser,",ROSEMARY-STATE HOUSE-10
11,State House,"Hall, Katy",R,khall@le.utah.gov,"Davis, Weber",State_House,Katy,,"Hall,","Katy  Hall,",KATY-STATE HOUSE-11
12,State House,"Schultz, Mike",R,mikeschultz@le.utah.gov,"Davis, Weber",State_House,Mike,,"Schultz,","Mike  Schultz,",MIKE-STATE HOUSE-12
13,State House,"Peterson, Karen M.",R,kpeterson@le.utah.gov,Davis,State_House,Karen,M.,"Peterson,","Karen M. Peterson,",KAREN-STATE HOUSE-13
14,State House,"Lisonbee, Karianne",R,karilisonbee@le.utah.gov,Davis,State_House,Karianne,,"Lisonbee,","Karianne  Lisonbee,",KARIANNE-STATE HOUSE-14
15,State House,"Defay, Ariel",R,adefay@le.utah.gov,Davis,State_House,Ariel,,"Defay,","Ariel  Defay,",ARIEL-STATE HOUSE-15
16,State House,"Lee, Trevor",R,tlee@le.utah.gov,Davis,State_House,Trevor,,"Lee,","Trevor  Lee,",TREVOR-STATE HOUSE-16
17,State House,"Barlow, Stewart E.",R,sbarlow@le.utah.gov,Davis,State_House,Stewart,E.,"Barlow,","Stewart E. Barlow,",STEWART-STATE HOUSE-17
18,State House,"Cutler, Paul A.",R,pcutler@le.utah.gov,Davis,State_House,Paul,A.,"Cutler,","Paul A. Cutler,",PAUL-STATE HOUSE-18
19,State House,"Ward, Raymond P.",R,rayward@le.utah.gov,Davis,State_House,Raymond,P.,"Ward,","Raymond P. Ward,",RAYMOND-STATE HOUSE-19
20,State House,"Ballard, Melissa G.",R,mballard@le.utah.gov,Davis,State_House,Melissa,G.,"Ballard,","Melissa G. Ballard,",MELISSA-STATE HOUSE-20
21,State House,"Hollins, Sandra",D,shollins@le.utah.gov,Salt Lake,State_House,Sandra,,"Hollins,","Sandra  Hollins,",SANDRA-STATE HOUSE-21
22,State House,"Dailey-Provost, Jennifer",D,jdprovost@le.utah.gov,Salt Lake,State_House,Jennifer,,"Dailey-Provost,","Jennifer  Dailey-Provost,",JENNIFER-STATE HOUSE-22
23,State House,"King, Brian S.",D,briansking@le.utah.gov,"Salt Lake, Summit",State_House,Brian,S.,"King,","Brian S. King,",BRIAN-STATE HOUSE-23
24,State House,"Briscoe, Joel K.",D,jbriscoe@le.utah.gov,Salt Lake,State_House,Joel,K.,"Briscoe,","Joel K. Briscoe,",JOEL-STATE HOUSE-24
25,State House,"Romero, Angela",D,angelaromero@le.utah.gov,Salt Lake,State_House,Angela,,"Romero,","Angela  Romero,",ANGELA-STATE HOUSE-25
26,State House,"MacPherson, Matt",R,mmacpherson@le.utah.gov,Salt Lake,State_House,Matt,,"MacPherson,","Matt  MacPherson,",MATT-STATE HOUSE-26
27,State House,"Loubet, Anthony E.",R,aloubet@le.utah.gov,Salt Lake,State_House,Anthony,E.,"Loubet,","Anthony E. Loubet,",ANTHONY-STATE HOUSE-27
28,State House,"Jimenez, Tim",R,tjimenez@le.utah.gov,Tooele,State_House,Tim,,"Jimenez,","Tim  Jimenez,",TIM-STATE HOUSE-28
29,State House,"Bolinder, Bridger",R,bbolinder@le.utah.gov,"Juab, Millard, Tooele",State_House,Bridger,,"Bolinder,","Bridger  Bolinder,",BRIDGER-STATE HOUSE-29
30,State House,"Rohner, Judy Weeks",R,jrohner@le.utah.gov,Salt Lake,State_House,Judy,Weeks,"Rohner,","Judy Weeks Rohner,",JUDY-STATE HOUSE-30
31,State House,"Garner, Brett",D,bgarner@le.utah.gov,No County,State_House,Brett,,"Garner,","Brett  Garner,",BRETT-STATE HOUSE-31
32,State House,"Hayes, Sahara",D,shayes@le.utah.gov,Salt Lake,State_House,Sahara,,"Hayes,","Sahara  Hayes,",SAHARA-STATE HOUSE-32
33,State House,"Owens, Doug",D,dougowens@le.utah.gov,Salt Lake,State_House,Doug,,"Owens,","Doug  Owens,",DOUG-STATE HOUSE-33
34,State House,"Moss, Carol S.",D,csmoss@le.utah.gov,Salt Lake,State_House,Carol,S.,"Moss,","Carol S. Moss,",CAROL-STATE HOUSE-34
35,State House,"Wheatley, Mark A.",D,markwheatley@le.utah.gov,Salt Lake,State_House,Mark,A.,"Wheatley,","Mark A. Wheatley,",MARK-STATE HOUSE-35
36,State House,"Dunnigan, James A.",R,jdunnigan@le.utah.gov,Salt Lake,State_House,James,A.,"Dunnigan,","James A. Dunnigan,",JAMES-STATE HOUSE-36
37,State House,"Matthews, Ashlee",D,amatthews@le.utah.gov,Salt Lake,State_House,Ashlee,,"Matthews,","Ashlee  Matthews,",ASHLEE-STATE HOUSE-37
38,State House,"Acton, Cheryl K.",R,cacton@le.utah.gov,Salt Lake,State_House,Cheryl,K.,"Acton,","Cheryl K. Acton,",CHERYL-STATE HOUSE-38
39,State House,"Ivory, Ken",R,kivory@le.utah.gov,Salt Lake,State_House,Ken,,"Ivory,","Ken  Ivory,",KEN-STATE HOUSE-39
40,State House,"Stoddard, Andrew",D,astoddard@le.utah.gov,Salt Lake,State_House,Andrew,,"Stoddard,","Andrew  Stoddard,",ANDREW-STATE HOUSE-40
41,State House,"Bennion, Gay Lynn",D,glbennion@le.utah.gov,Salt Lake,State_House,Gay,Lynn,"Bennion,","Gay Lynn Bennion,",GAY-STATE HOUSE-41
42,State House,"Spendlove, Robert M.",R,rspendlove@le.utah.gov,Salt Lake,State_House,Robert,M.,"Spendlove,","Robert M. Spendlove,",ROBERT-STATE HOUSE-42
43,State House,"Eliason, Steve",R,seliason@le.utah.gov,Salt Lake,State_House,Steve,,"Eliason,","Steve  Eliason,",STEVE-STATE HOUSE-43
44,State House,"Teuscher, Jordan D.",R,jteuscher@le.utah.gov,Salt Lake,State_House,Jordan,D.,"Teuscher,","Jordan D. Teuscher,",JORDAN-STATE HOUSE-44
45,State House,"Pulsipher, Susan",R,susanpulsipher@le.utah.gov,Salt Lake,State_House,Susan,,"Pulsipher,","Susan  Pulsipher,",SUSAN-STATE HOUSE-45
46,State House,"Stenquist, Jeffrey D.",R,jstenquist@le.utah.gov,Salt Lake,State_House,Jeffrey,D.,"Stenquist,","Jeffrey D. Stenquist,",JEFFREY-STATE HOUSE-46
47,State House,"Strong, Mark A.",R,mstrong@le.utah.gov,Salt Lake,State_House,Mark,A.,"Strong,","Mark A. Strong,",MARK-STATE HOUSE-47
48,State House,"Cobb, James F.",R,jcobb@le.utah.gov,Salt Lake,State_House,James,F.,"Cobb,","James F. Cobb,",JAMES-STATE HOUSE-48
49,State House,"Pierucci, Candice B.",R,cpierucci@le.utah.gov,Salt Lake,State_House,Candice,B.,"Pierucci,","Candice B. Pierucci,",CANDICE-STATE HOUSE-49
