Bill Number,Process Tag,Date,Day of Legislature,Bill Title,Description,Notecard,Topics,Read,Bill Sponsor,Office
HB 101,Rules 1,2025-01-21,1,Ballot Proposition Amendments,Requires an impartial source to write the language the appears on the ballot for ballot initiatives,Ballot Initiative Transparency & Accuracy,Election,Positive,Angela Romero,State House
HB 120,Graveyard,2025-02-19,30,Time Change Amendments,Would move state to permanat daylight savings time,Clock Confusion,Government,Nuetral,Joseph Elison,State House
HB 120,Rules 1,,0,Time Change Amendments,Would move state to permanat daylight savings time,Clock Confusion,Government,Nuetral,Joseph Elison,State House
HB 120,Committee 1,,0,Time Change Amendments,Would move state to permanat daylight savings time,Clock Confusion,Government,Nuetral,Joseph Elison,State House
HB 132,Rules 1,2025-02-03,14,Firearm Storage Requirements,Criminal penalties for firearms that are not stored correctly and then accessed by a minor,Safe Firearm Storage Near Minors,"Firearms, Public Health",Positive,Andrew Stoddard,State House
HB 132,Graveyard,2025-02-14,25,Firearm Storage Requirements,Criminal penalties for firearms that are not stored correctly and then accessed by a minor,Safe Firearm Storage Near Minors,"Firearms, Public Health",Positive,Andrew Stoddard,State House
HB 133,Committee 1,2025-01-27,7,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Floor Vote 1.1,2025-01-30,10,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Rules 2,2025-02-05,16,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Committee 2,2025-02-21,32,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Rules 1,,0,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Floor Vote 1.2,,0,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 133,Floor Vote 1.3,,0,Dangerous Weapons Amendements,Allows 18-year-olds to open carry firearms in Utah without restrictions,18 and Openly Armed,"Public Safety, Firearms",Negative,Karianne Lisonbee,State House
HB 143,Rules 1,2025-02-03,14,Firearm Safety Incentives,Gives tax credits for the purchase of firearm safety accessories,Tax Credit for Firearm Safety,"Firearms, Public Health, Taxes",Positive,Matt MacPherson,State House
HB 143,Floor Vote 1.3,2025-02-18,29,Firearm Safety Incentives,Gives tax credits for the purchase of firearm safety accessories,Tax Credit for Firearm Safety,"Firearms, Public Health, Taxes",Positive,Matt MacPherson,State House
HB 143,Committee 1,,0,Firearm Safety Incentives,Gives tax credits for the purchase of firearm safety accessories,Tax Credit for Firearm Safety,"Firearms, Public Health, Taxes",Positive,Matt MacPherson,State House
HB 143,Floor Vote 1.1,,0,Firearm Safety Incentives,Gives tax credits for the purchase of firearm safety accessories,Tax Credit for Firearm Safety,"Firearms, Public Health, Taxes",Positive,Matt MacPherson,State House
HB 143,Floor Vote 1.2,,0,Firearm Safety Incentives,Gives tax credits for the purchase of firearm safety accessories,Tax Credit for Firearm Safety,"Firearms, Public Health, Taxes",Positive,Matt MacPherson,State House
HB 152,Floor Vote 2.1,2025-02-21,32,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Rules 1,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Committee 1,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Floor Vote 1.1,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Floor Vote 1.2,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Floor Vote 1.3,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Rules 2,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 152,Committee 2,,0,Health Care Facilities Amendments,Requires free standing ER's to have minimum basic staffing requirements and protects them from corporate greed,"Safe Staffing, Safe Care",Public Health,Positive,Katy Hall,State House
HB 158,Floor Vote 1.1,2025-02-03,14,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 158,Rules 2,2025-02-10,21,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 158,Rules 1,,0,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 158,Committee 1,,0,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 158,Floor Vote 1.2,,0,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 158,Floor Vote 1.3,,0,State Sovereignty,Declares that international organizastions like the Wold Healthe Organization (WHO) and United Nations (UN) have no legal authority in Utah and prohibits thstate from implementing their rules or policies,W.H.O. Do You Think You Are?,"Public Health, Government",Negative,Lisa Shepherd,State House
HB 169,Floor Vote 1.2,2025-02-20,31,State Board of Education Amendments,No description available,School Board Ethics and Accountibility,Education,Not specified,Douglas R. Welton,State House
HB 169,Floor Vote 1.3,2025-02-20,31,State Board of Education Amendments,No description available,School Board Ethics and Accountibility,Education,Not specified,Douglas R. Welton,State House
