"Bill Number","Bill Title","Bill Sponsor","Date Passed","Effective Date","Governor's Action","Gov's Action Date","Laws of Utah Chapter"
"HB0001","Higher Education Base Budget  ","Peterson, K.","01/30/2025","07/01/2025","GSIGN","02/14/2025","001"
"HB0002","Public Education Budget Amendments ","Whyte, S.","03/05/2025","07/01/2025","GSIGN","03/25/2025","165"
"HB0003","Current Fiscal Year Supplemental Appropriations ","Peterson, V.","03/05/2025","03/27/2025","GOVLVETO","03/27/2025","538"
"HB0004","Economic and Community Development Base Budget ","Watkins, C.","01/30/2025","07/01/2025","GSIGN","02/14/2025","002"
"HB0005","General Government Base Budget ","Thurston, N.","01/30/2025","07/01/2025","GSIGN","02/14/2025","003"
"HB0006","Transportation and Infrastructure Base Budget ","Welton, D.","01/30/2025","07/01/2025","GSIGN","02/14/2025","004"
"HB0007","National Guard, Veterans Affairs, and Legislature Base Budget ","Peterson, V.","01/30/2025","07/01/2025","GSIGN","02/14/2025","005"
"HB0008S02","State Agency and Higher Education Compensation Appropriations ","Brooks, W.","03/05/2025","03/25/2025","GSIGN","03/25/2025","166"
"HB0010","Fund and Account Modifications ","Peterson, V.","03/05/2025","07/01/2025","GSIGN","03/25/2025","167"
"HB0011","Native American Remains Review Committee Amendments ","Moss, C.","01/30/2025","05/07/2025","GSIGN","03/03/2025","021"
"HB0012S04","Division of Purchasing and General Services Amendments ","Peterson, V.","02/07/2025","05/07/2025","GSIGN","03/19/2025","069"
"HB0013","Sexual Extortion Amendments ","Wilcox, R.","02/14/2025","02/27/2025","GSIGN","02/27/2025","012"
"HB0014S01","Emergency Services Personnel Amendments ","Thurston, N.","02/05/2025","05/07/2025","GSIGN","02/27/2025","013"
"HB0016","Health Facility Administrator Act Amendments ","Maloy, A. Cory","01/30/2025","05/07/2025","GSIGN","03/25/2025","170"
"HB0018S01","Petroleum Storage Tank Amendments ","Eliason, S.","02/11/2025","05/07/2025","GSIGN","02/27/2025","014"
"HB0019S01","Child Labor Amendments ","Ballard, M.G.","02/20/2025","05/07/2025","GSIGN","03/25/2025","171"
"HB0020S02","Property Tax Code Recodification ","Welton, D.","03/05/2025","01/01/2026","GSIGN","03/25/2025","172"
"HB0021S02","Criminal Code Recodification and Cross References ","Gwynn, M.","03/06/2025","05/07/2025","GSIGN","03/25/2025","173"
"HB0022S01","Prostitution Offense Amendments ","Gwynn, M.","02/10/2025","05/07/2025","GSIGN","03/25/2025","174"
"HB0023S02","Insurance Modifications ","Dunnigan, J.","02/28/2025","05/07/2025","GSIGN","03/25/2025","175"
"HB0024S02","Limitations on Liability Amendments ","Abbott, N.","02/21/2025","05/07/2025","GSIGN","03/12/2025","026"
"HB0025S01","Retirement Amendments ","Acton, C.K.","02/19/2025","05/07/2025","GSIGN","03/19/2025","072"
